activity_id,access_seq,week,eclo,access_night
A054,8,25,0,1
A055,1,20,0,2
A056,1,18,0,2
A056,2,22,0,2
A056,3,23,0,2
A056,4,24,0,2
A056,5,25,0,2
A057,1,15,0,1
A057,2,16,0,1
A057,3,17,0,2
A057,4,18,0,3
A057,5,22,0,3
A057,6,23,0,3
A057,7,24,0,3
A057,8,25,0,3
A058,1,2,0,1
A058,2,3,0,1
A058,3,4,0,1
A058,4,5,0,1
A058,5,6,0,1
A058,6,7,0,1
A058,7,8,0,1
A058,8,9,0,1
A058,9,10,0,1
A058,10,11,0,1
A058,11,12,0,1
A059,1,14,0,1
A059,2,15,0,1
A059,3,16,0,1
A059,4,17,0,1
A059,5,18,1,1
A059,6,19,1,1
A060,1,13,0,1
A060,2,14,0,1
A060,3,15,0,1
A060,4,16,0,1
A060,5,17,0,1
A060,6,18,0,1
A061,1,4,0,1
A061,2,5,0,1
A061,3,6,0,1
A061,4,7,0,1
A061,5,8,0,1
A061,6,9,0,1
A061,7,10,0,1
A061,8,11,0,1
A061,9,12,0,1
A063,1,5,0,2
A063,2,6,0,2
A063,3,7,0,2
A063,4,8,0,2
A063,5,9,0,2
A063,6,10,0,2
A063,7,11,0,2
A063,8,12,0,2
A064,1,16,0,2
A064,2,17,0,2
A064,3,18,0,2
A064,4,19,0,1
A065,1,19,0,1
A066,1,25,0,1
A069,1,9,0,1
A069,2,10,0,1
A069,3,11,0,1
A069,4,12,0,1
A070,1,11,0,2
A070,2,12,0,2
A070,3,13,0,1
A070,4,14,0,1
A070,5,15,0,1
A070,6,16,0,1
A070,7,17,0,1
A070,8,18,0,1
A070,9,22,0,1
A070,10,23,0,1
A070,11,24,0,1
A071,1,15,0,2
A071,2,16,0,2
A071,3,20,0,1
A072,1,23,0,1
A072,2,24,0,1
A072,3,25,0,1
A072,4,26,0,1
A073,1,26,0,2
A074,1,19,0,1
A075,1,27,0,1
