activity_id,week,location_id,co_share_group
A017,23,SEC:BET:H02_S15:EB,b1
A017,23,SEC:BET:S15_S16:EB,b1
A017,24,PLAT:BET:H01:EB,b1
A017,24,PLAT:BET:H02:EB,b1
A017,24,PLAT:BET:S15:EB,b1
A017,24,PLAT:BET:S16:EB,b1
A017,24,SEC:BET:H01_H02:EB,b1
A017,24,SEC:BET:H02_S15:EB,b1
A017,24,SEC:BET:S15_S16:EB,b1
A017,25,PLAT:BET:H01:EB,b1
A017,25,PLAT:BET:H02:EB,b1
A017,25,PLAT:BET:S15:EB,b1
A017,25,PLAT:BET:S16:EB,b1
A017,25,SEC:BET:H01_H02:EB,b1
A017,25,SEC:BET:H02_S15:EB,b1
A017,25,SEC:BET:S15_S16:EB,b1
A017,26,PLAT:BET:H01:EB,b1
A017,26,PLAT:BET:H02:EB,b1
A017,26,PLAT:BET:S15:EB,b1
A017,26,PLAT:BET:S16:EB,b1
A017,26,SEC:BET:H01_H02:EB,b1
A017,26,SEC:BET:H02_S15:EB,b1
A017,26,SEC:BET:S15_S16:EB,b1
A019,11,PLAT:BET:S16:EB,b1
A019,11,PLAT:BET:S17:EB,b1
A019,11,SEC:BET:S16_S17:EB,b1
A019,18,PLAT:BET:S16:EB,b1
A019,18,PLAT:BET:S17:EB,b1
A019,18,SEC:BET:S16_S17:EB,b1
A020,23,PLAT:ALP:H01:WB,b1
A020,23,PLAT:ALP:H02:WB,b1
A020,23,PLAT:ALP:S04:WB,b1
A020,23,PLAT:ALP:S05:WB,b1
A020,23,SEC:ALP:H01_H02:WB,b1
A020,23,SEC:ALP:H02_S05:WB,b1
A020,23,SEC:ALP:S04_H01:WB,b1
A020,25,PLAT:ALP:H01:WB,b1
A020,25,PLAT:ALP:H02:WB,b1
A020,25,PLAT:ALP:S04:WB,b1
A020,25,PLAT:ALP:S05:WB,b1
A020,25,SEC:ALP:H01_H02:WB,b1
A020,25,SEC:ALP:H02_S05:WB,b1
A020,25,SEC:ALP:S04_H01:WB,b1
A021,4,PLAT:BET:S11:WB,b1
A021,4,PLAT:BET:S12:WB,b1
A021,4,PLAT:BET:S13:WB,b1
A021,4,SEC:BET:S11_S12:WB,b1
A021,4,SEC:BET:S12_S13:WB,b1
A021,12,PLAT:BET:S11:WB,b1
A021,12,PLAT:BET:S12:WB,b1
A021,12,PLAT:BET:S13:WB,b1
A021,12,SEC:BET:S11_S12:WB,b1
A021,12,SEC:BET:S12_S13:WB,b1
A021,26,PLAT:BET:S11:WB,b1
A021,26,PLAT:BET:S12:WB,b1
A021,26,PLAT:BET:S13:WB,b1
A021,26,SEC:BET:S11_S12:WB,b1
A021,26,SEC:BET:S12_S13:WB,b1
A023,21,PLAT:ALP:S03:WB,b1
A023,21,PLAT:ALP:S04:WB,b1
A023,21,SEC:ALP:S03_S04:WB,b1
A023,24,PLAT:ALP:S03:WB,b1
A023,24,PLAT:ALP:S04:WB,b1
A023,24,SEC:ALP:S03_S04:WB,b1
A023,25,PLAT:ALP:S03:WB,b1
A023,25,PLAT:ALP:S04:WB,b1
A023,25,SEC:ALP:S03_S04:WB,b1
A023,26,PLAT:ALP:S03:WB,b1
A023,26,PLAT:ALP:S04:WB,b1
A023,26,SEC:ALP:S03_S04:WB,b1
A023,27,PLAT:ALP:S03:WB,b1
A023,27,PLAT:ALP:S04:WB,b1
A023,27,SEC:ALP:S03_S04:WB,b1
A023,28,PLAT:ALP:S03:WB,b1
A023,28,PLAT:ALP:S04:WB,b1
A023,28,SEC:ALP:S03_S04:WB,b1
A023,29,PLAT:ALP:S03:WB,b1
A023,29,PLAT:ALP:S04:WB,b1
A023,29,SEC:ALP:S03_S04:WB,b1
A025,8,PLAT:ALP:S01:EB,b1
A025,8,PLAT:ALP:S02:EB,b1
A025,8,PLAT:ALP:S03:EB,b1
A025,8,SEC:ALP:S01_S02:EB,b1
A025,8,SEC:ALP:S02_S03:EB,b1
A025,11,PLAT:ALP:S01:EB,b1
A025,11,PLAT:ALP:S02:EB,b1
A025,11,PLAT:ALP:S03:EB,b1
A025,11,SEC:ALP:S01_S02:EB,b1
A025,11,SEC:ALP:S02_S03:EB,b1
A025,15,PLAT:ALP:S01:EB,b1
A025,15,PLAT:ALP:S02:EB,b1
A025,15,PLAT:ALP:S03:EB,b1
A025,15,SEC:ALP:S01_S02:EB,b1
A025,15,SEC:ALP:S02_S03:EB,b1
A025,18,PLAT:ALP:S01:EB,b1
A025,18,PLAT:ALP:S02:EB,b1
A025,18,PLAT:ALP:S03:EB,b1
A025,18,SEC:ALP:S01_S02:EB,b1
A025,18,SEC:ALP:S02_S03:EB,b1
A025,22,PLAT:ALP:S01:EB,b1
A025,22,PLAT:ALP:S02:EB,b1
A025,22,PLAT:ALP:S03:EB,b1
A025,22,SEC:ALP:S01_S02:EB,b1
A025,22,SEC:ALP:S02_S03:EB,b1
A025,24,PLAT:ALP:S01:EB,b1
A025,24,PLAT:ALP:S02:EB,b1
A025,24,PLAT:ALP:S03:EB,b1
A025,24,SEC:ALP:S01_S02:EB,b1
A025,24,SEC:ALP:S02_S03:EB,b1
A025,25,PLAT:ALP:S01:EB,b1
A025,25,PLAT:ALP:S02:EB,b1
A025,25,PLAT:ALP:S03:EB,b1
